id,category,difficulty,risk_level,g1_score,g1_reason,g1_error
Q001,보호결정·국적,기본,high,2,"AI 응답은 탈북 브로커 이용을 강조하며, 직접 보호 신청의 중요성을 간과하고 있습니다. 주요 내용이 불일치하고, 법적 근거도 부정확하게 제시되고 있습니다.",
Q002,보호결정·국적,기본,low,3,"AI 응답은 북한이탈주민의 보호 결정 절차를 언급하였으나, 북한 주민이 원칙적으로 대한민국 국민이라는 핵심 내용을 누락하였습니다. 또한, 법적 근거는 제시하였으나, 전체적인 내용이 정답과 일치하지 않습니다.",
Q003,보호결정·국적,심화,medium,2,"AI 응답은 북한이탈주민의 자녀에 대한 조건을 잘못 해석하고 있으며, 질문의 핵심인 중국에서 태어난 아이의 국적 취득에 대한 정보가 누락되어 있습니다. 또한, 법적 근거를 제시했지만, 질문의 상황에 맞지 않는 내용을 포함하고 있습니다.",
Q004,보호결정·국적,심화,high,4,"AI 응답은 북한이탈주민의 정의와 외국 국적 취득 여부에 대한 내용을 잘 설명하고 있으나, 법원 판시 내용과 중국 국적법에 대한 구체적인 언급이 부족하여 사소한 누락이 있습니다.",
Q005,보호결정·국적,기본,high,4,"핵심 내용은 대부분 일치하지만, AI 응답에서 법 개정에 대한 언급이 누락되어 있어 사소한 정보가 부족합니다.",
Q006,가사,기본,medium,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 이혼 절차와 법적 근거를 잘 설명하고 있습니다. 그러나 통일부의 확인서 발급에 대한 언급이 다소 간략하게 처리되어 사소한 누락이 있습니다.",
Q007,가사,기본,low,4,"핵심 내용은 대부분 일치하지만, AI 응답에서 이혼 사유에 대한 구체적인 법적 근거가 추가되어 있어 약간의 차이가 있습니다. 전반적으로 절차는 잘 설명되어 있으나, '공시송달 방식'에 대한 언급이 누락되었습니다.",
Q008,가사,심화,high,2,"AI 응답은 가족관계등록부 정정에 대한 주요 내용을 다루고 있으나, 북한에서의 혼인 유효성 문제와 전문 변호사 상담의 필요성을 명확히 언급하지 않아 주요 내용이 불일치합니다. 또한, 이혼 소송 절차에 대한 설명이 포함되어 있으나, 질문의 핵심인 정정 방법에 대한 정보가 부족합니다.",
Q009,가사,기본,low,4,"핵심 내용은 대부분 일치하지만, AI 응답에서 '신청서 작성' 부분이 추가되어 있으며, 법적 근거의 조항 번호가 불확실합니다. 전반적으로 중요한 내용은 포함되어 있으나, 사소한 표현 차이가 있습니다.",
Q010,민사,심화,medium,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 법적 근거도 언급하고 있습니다. 그러나 일부 세부 사항과 특정 법 조항에 대한 언급이 부족하여 사소한 누락이 있습니다.",
Q011,민사,기본,medium,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 법적 절차와 조언을 잘 설명하고 있습니다. 그러나 탈북 용역 계약 관련 소송의 구체적인 주장 내용이 누락되어 있어 사소한 차이가 있습니다.",
Q012,민사,기본,medium,4,"핵심 내용은 대부분 일치하지만, AI 응답에서 법적 근거와 조언이 추가되어 있어 사소한 표현 차이가 있습니다. 전대 관계 정리에 대한 구체적인 조언이 누락되었습니다.",
Q013,형사,기본,high,2,"AI 응답은 경찰 출석의 법적 의무에 대한 잘못된 정보를 포함하고 있으며, 임의수사 단계에서의 변호사 상담 권리와 같은 중요한 내용을 누락하고 있습니다.",
Q014,형사,기본,high,4,"핵심 내용은 대부분 일치하지만, AI 응답에서 처벌의 구체적인 내용(징역형 및 벌금)에 대한 언급이 누락되어 있습니다. 법적 근거를 명시한 점은 긍정적이나, 자진 신고에 대한 조언이 포함되지 않아 사소한 차이가 있습니다.",
Q015,형사,기본,high,3,"AI 응답은 통장 양도의 법적 문제를 언급하지 않고 있으며, 전자금융거래법 위반에 대한 구체적인 설명이 부족합니다. 그러나 변호사 상담의 중요성을 강조하고 있어 일부 내용은 일치하지만, 주요 법적 근거가 누락되었습니다.",
Q016,형사,기본,high,4,"핵심 내용은 대부분 일치하지만, AI 응답에서 북한이탈주민 정착지원 중단에 대한 언급이 누락되었습니다. 또한, 법적 조언을 강조한 부분은 긍정적이나, 구체적인 법적 근거가 부족합니다.",
Q017,형사,심화,high,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 남북교류협력법에 대한 언급도 정확합니다. 그러나 '지령을 받거나 목적수행을 협의할 의사'에 대한 판례 언급이 누락되어 있어 사소한 차이가 있습니다.",
Q018,복지·정착지원,기본,low,2,"AI 응답은 정착지원금의 구체적인 금액을 제공하지 않고, 법적 근거를 언급했지만 주요 내용이 불일치합니다. 정착지원금의 구체적인 금액과 가산금에 대한 정보가 누락되어 있습니다.",
Q019,복지·정착지원,기본,low,2,"AI 응답은 북한이탈주민에 대한 특정 조건을 언급하고 있으나, 일반적인 기초생활수급 자격에 대한 정보는 누락되어 있습니다. 또한, 부양의무자 기준에 대한 설명이 없고, 법적 근거도 정확하지 않아 주요 내용이 불일치합니다.",
Q020,복지·정착지원,기본,medium,3,"AI 응답은 압류방지통장 개설 방법에 대한 정보를 제공하지만, 민사집행법에 따른 생계비 압류 금지에 대한 핵심 내용을 누락하고 있습니다. 또한, 법원에 압류금지채권 범위변경신청을 하는 방법에 대한 정보도 포함되지 않아 중요 내용이 일부 부정확합니다.",
Q021,법률구조,기본,low,3,"AI 응답은 일부 기관을 언급하였으나, 북한이탈주민 보호대상자에 대한 구체적인 지원 내용과 법적 근거가 누락되어 있어 중요 내용이 일부 부정확합니다.",
