id,category,difficulty,risk_level,source,legal_basis,question,ground_truth,llm_response,input_tokens,output_tokens,error,g1_score,g1_reason,g2_disclaimer,g2_agency,g2_legal_cite,g3_has_citation,g3_law_count,g3_has_contact,g3_law_match
Q001,보호결정·국적,기본,high,서울지방변호사회 매뉴얼 §II,탈북민지원법 제7조 제1항,"북한에서 탈출해서 중국에 있는데, 한국에 오려면 어떻게 해야 하나요?","가장 일반적인 방법은 중국 내 한국 재외공관(대사관·영사관)에 직접 보호를 신청하는 것입니다. 신청하면 외교부와 관계부처에 보고되고, 신원확인 후 한국 입국을 지원받게 됩니다. 주의할 점은 '직접신청주의' 원칙상 본인이 직접 신청해야 하며, 가족 대리 신청은 제한적으로만 허용됩니다.","북한이탈주민이 한국에 오는 과정은 법적으로 보호되며, 다음과 같은 절차가 있습니다.

1. **신청서 제출**: 한국에 입국하기 위해서는 여성가족부 또는 남북하나재단에 연락하여 북한이탈주민으로서의 지위를 신청해야 합니다.

2. **입국 절차**: 한국에 입국하기 위해 일반적으로 중국 공항 등을 통해 여행할 수 있는 방법이 있으나, 귀국의 안전성을 고려하여 신중하게 결정해야 합니다.

3. **법적 보호**: 북한이탈주민은 한국에 도착 후, 법적으로 보호받을 수 있는 권리가 있습니다. 예를 들어, 북한이탈주민 보호법에 의거하여 안전한 정착지 및 정부의 다양한 지원을 받을 수 있습니다.

관련 법률은 북한이탈주민 보호법 제2조(정의)에 따라 북한이탈주민이란 북한에서 출생하여 북한을 벗어난 사람을 의미합니다.

중요한 점은, 신변에 위협이 있는 경우에는 즉시 전문기관에 연락해 지원을 받을 필요가 있습니다. 아래의 연락처를 참고하세요.

- 남북하나재단: 1577-6635
- 경찰: 112

상기 절차에 따라 진행하시고, 반드시 전문가와 상담하여 구체적인 상황을 설명한 후 조치를 취하시기 바랍니다.",263,305,,3,"AI 응답은 일부 절차를 포함하고 있으나, 핵심 내용인 한국 재외공관에 직접 보호 신청하는 방법이 누락되어 있으며, 법적 근거도 정확하지 않습니다.",True,True,True,True,1,True,0.0
Q002,보호결정·국적,기본,low,서울지방변호사회 매뉴얼 §II,"헌법 제3조; 탈북민지원법 제2조, 제8조",한국에 입국하면 바로 한국 국민이 되나요?,"네, 북한이탈주민은 별도의 귀화 절차 없이 대한민국 국적을 보유합니다. 헌법 제3조에 따라 북한 지역도 대한민국 영토이므로, 북한 주민은 원칙적으로 대한민국 국민입니다. 다만 입국 후에는 합동조사(최대 90일)와 보호결정 절차를 거쳐야 '보호대상자'로서 정착지원을 받을 수 있습니다.","한국에 입국한다고 해서 자동으로 한국 국민이 되는 것은 아닙니다. 북한이탈주민이 한국에 입국하면, 일정한 법적 절차를 통해 한국에서의 법적 지위를 얻어야 합니다.

대한민국의 국적법에 따라 북한이탈주민은 특별한 절차와 요건을 충족할 경우 귀화 신청을 통해 한국 국적을 취득할 수 있습니다. 관련 법령은 「국적법」입니다. 

국적법 제7조(귀화의 요건)에서는 귀화의 요건을 규정하고 있으며, 보통 한국에서 일정 기간 거주해야 하고, 한국어 능력, 한국의 법률 및 제도에 대한 이해 등이 요구됩니다.

법적 질문이나 처리가 필요할 때는 전문 법률기관에 한 번 더 확인하는 것이 좋습니다.

- 대한법률구조공단: 132
- 남북하나재단: 1577-6635

귀화나 법적 지위에 대해 더 자세한 정보가 필요하시면 변호사 또는 관련 기관과 상담하시기를 권장합니다.",255,239,,2,"AI 응답은 북한이탈주민의 국적 취득 절차에 대한 주요 내용을 잘못 설명하고 있으며, 헌법 제3조와 관련된 내용을 누락했습니다. 또한, 귀화 절차에 대한 설명이 포함되어 있지만, 북한이탈주민의 경우 별도의 귀화 절차 없이 국적을 보유한다는 핵심 사실이 잘못 전달되었습니다.",True,True,True,True,2,True,0.0
Q003,보호결정·국적,심화,medium,서울지방변호사회 매뉴얼 §II,국적법 제2조 제1항 제1호; 제12조,중국에서 중국 남자와 살면서 아이를 낳았어요. 이 아이도 한국 국적이 되나요?,"어머니가 북한이탈주민(대한민국 국민)이라면, 아이는 출생과 동시에 대한민국 국적을 취득합니다. 단, 아이가 중국에서 태어났다면 중국 국적도 함께 가질 수 있어 복수국적자가 됩니다. 만 22세 전에 하나의 국적을 선택해야 합니다. 아이를 한국에 데려오려면 중국 여권을 발급받아 한국 비자를 신청하는 방법을 이용할 수 있습니다.","한국의 국적법에 따르면, 한국 국적을 부여받기 위한 조건은 다음과 같습니다.

1. 부모의 국적
2. 출생 시 부모 중 한 명이 한국국적자인 경우

구체적으로, **국적법 제2조 제1항**에 따르면, 부모 중 한 명이 한국 국적을 가진 경우 그 자녀는 출생 시 한국 국적을 취득합니다. 만약 두 부모 모두 한국 국적이 아니라면, 아이는 한국 국적을 취득하지 않습니다.

그 외에, 부모의 결혼 상태나 출생지와 같은 다른 요소들도 관련이 있을 수 있습니다. 이에 따라 부모의 국적과 결혼 관계 상태에 따라 아이의 국적이 달라질 수 있는 점도 고려해야 합니다.

자세한 사항은 국적 문제 관련하여 전문 변호사와 상담하시거나, **대사관 또는 영사관에 문의**하여 추가적인 안내를 받으시기를 권장합니다.",269,209,,3,"AI 응답은 한국 국적법의 기본 원칙을 설명하고 있지만, 질문의 구체적인 상황(북한이탈주민 어머니와 중국에서 태어난 아이)에 대한 명확한 답변이 부족하며, 중요한 세부사항이 누락되어 있습니다.",True,True,True,True,1,False,1.0
Q004,보호결정·국적,심화,high,서울지방변호사회 매뉴얼 §II,탈북민지원법 제2조 제1호; 서울중앙지방법원 2016고정2439 참조,중국에서 중국 여권을 만들어서 한국에 들어왔어요. 저는 북한이탈주민으로 인정받을 수 없나요?,"중국 여권을 소지했다는 사실만으로 북한이탈주민 지위가 부정되지는 않습니다. 법원은 중국 국적법상의 정식 국적회복 절차를 거치지 않은 경우, 호구부만 회복한 것은 중국 국적 취득으로 보기 어렵다고 판시한 바 있습니다. 중요한 것은 법률상 국적이지 여권 소지 여부가 아닙니다. 다만 사안별로 판단이 달라질 수 있으므로 전문 변호사 상담이 필요합니다.","북한이탈주민으로 인정받기 위해서는 특정 요건을 충족해야 합니다. 북한 이탈주민의 정의는 '북한에서 태어나거나 북한 국적을 가지면서, 북한을 이탈하여 제3국이나 대한민국으로 오신 분들'입니다. 

여권 문제에 대해서는, 한국에서 북한이탈주민으로 인정받기 위해서는 '탈북'의 사실이 중요한 요소입니다. 따라서, 중국 여권으로 한국에 입국했다고 하더라도, 북한에서의 출신 여부와 북한을 이탈한 경과가 중요합니다.

북한이탈주민의 법적 지위와 관련된 내용은 다음과 같은 법령에 명시되어 있습니다:

- **북한이탈주민의 보호 및 정착 지원에 관한 법률 제2조**: 북한이탈주민의 정의와 지원 내용

귀하가 북한이탈주민으로 인정받을 수 있는지 여부에 대해서는, 전문적인 법률 상담이 필요합니다. 다음의 기관에 상담을 요청해 보시기 바랍니다.

- **남북하나재단**: 1577-6635 (북한이탈주민 관련 지원)
- **대한법률구조공단**: 132 (법률 상담 및 지원)

각자의 상황이 다를 수 있으므로 전문가와의 상담 후에 최종 결정을 내리는 것이 중요합니다.",272,300,,4,"AI 응답은 북한이탈주민의 정의와 인정 요건을 잘 설명하고 있으나, 법원 판례에 대한 언급이 없고 중국 여권 소지의 법적 의미에 대한 설명이 부족하다.",True,True,True,True,1,True,0.0
Q005,보호결정·국적,기본,high,서울지방변호사회 매뉴얼 §II,탈북민지원법 제9조; 동법 시행령 제12조,한국에 들어온 지 4년이 됐는데 이제 와서 보호신청을 할 수 있나요?,"원칙적으로 국내 입국 후 3년이 지나면 보호대상자로 결정되지 않을 수 있습니다. 2019년 1월 법 개정으로 기준이 1년에서 3년으로 완화되었으나, 4년이 경과한 경우라면 보호결정이 어려울 수 있습니다. 다만 외부와 차단된 시설 거주, 질병 등으로 자유로운 활동이 불가능했던 경우는 예외가 인정될 수 있으므로 구체적 사정을 갖추어 법률 전문가와 상담하시기 바랍니다.","북한이탈주민이 보호신청을 하려면, 법률적으로 보호를 요청할 수 있는 사유가 있어야 합니다. 「북한이탈주민의 보호 및 정착지원에 관한 법률」 제2조에 따르면, 보호신청은 북한이탈주민의 안전과 기본적 권리를 보장하기 위한 절차입니다.

보호신청은 일반적으로 북한을 탈출한 후 3개월 이내에 진행하는 것이 원칙이지만, 특별한 사정이 있는 경우에는 그 기간이 연장될 수 있습니다. 따라서, 4년이 지났더라도 개인의 상황(예: 신변 위험, 심각한 개인적 문제)에 따라 보호신청이 가능할 수 있습니다.

개별 사례에 따라 다르기 때문에, 정확한 판단을 위해서는 전문가와 상담하는 것이 좋습니다. 

특히 만약 현재 신변 위협이나 위험한 상황에 처해 있다면 즉각적으로 아래의 전문 기관에 상담하시기 바랍니다:
- 대한법률구조공단: 132
- 남북하나재단: 1577-6635
- 경찰: 112

최종 판단은 반드시 법률 전문가와 상담하시기 바랍니다.",267,263,,3,"AI 응답은 보호신청의 일반적인 절차와 예외 상황을 언급하였으나, 4년 경과에 따른 보호결정의 어려움에 대한 구체적인 언급이 부족하고, 법적 근거가 명확하지 않아 일부 중요 내용이 누락되었다.",True,True,True,True,2,True,0.0
Q006,가사,기본,medium,서울지방변호사회 매뉴얼 §III,탈북민지원법 제19조의2; 민법 제840조 제6호,북한에 남편이 있는데 한국에서 다시 결혼할 수 있나요?,북한에서의 혼인은 한국에서도 유효하게 인정됩니다. 따라서 북한 배우자와 이혼하지 않은 상태에서 한국에서 재혼하면 중혼이 되어 그 혼인이 취소될 수 있습니다. 재혼을 원하신다면 먼저 서울가정법원에 북한 배우자를 상대로 이혼소송을 제기하여 이혼 판결을 받아야 합니다. 이 경우 통일부에서 배우자의 보호결정 여부 확인서를 발급받아 첨부해야 합니다.,"북한에 남편이 있는 상황에서 한국에서 다시 결혼하려면 법적 절차를 따라야 합니다. 한국의 민법 제807조에 따르면, 이미 유효한 결혼관계가 있을 경우 이혼 또는 혼인신고가 불가능합니다. 즉, 북한에 있는 남편과의 결혼이 유효하다면, 그 결혼이 해소되지 않는 한 다시 결혼할 수 없습니다.

그러나 북한에 있는 남편과의 결혼이 법적으로 인정되지 않거나 이혼 절차를 진행할 수 있는 경우(예: 부재신고 또는 이혼 소송을 통한 이혼), 새로운 결혼이 가능할 수 있습니다.

1. **이혼 절차**: 북한에 남편과의 결혼을 해소하기 위해 이혼을 진행해야 합니다.
2. **법률 상담**: 북한에 있는 남편과의 결혼 상태에 대한 구체적인 사항은 변호사와 상담하는 것이 좋습니다. 

특히, 고위험 상황에 처해 있으신 경우에는 반드시 전문 법률 기관과 상담하시기 바랍니다. 필요시, 아래 연락처를 이용해 주세요:
- 대한법률구조공단: 132
- 남북하나재단: 1577-6635

최종 결정을 내리기 전에 전문가와 충분히 상담하시기를 권장합니다.",260,292,,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 이혼 절차와 법률 상담의 필요성을 언급하고 있습니다. 그러나 북한 배우자와의 이혼 소송을 제기해야 한다는 구체적인 법적 절차에 대한 언급이 부족하여 사소한 누락이 있습니다.",True,True,True,True,1,True,0.5
Q007,가사,기본,low,서울지방변호사회 매뉴얼 §III,탈북민지원법 제19조의2,북한에 있는 남편과 이혼하려면 어떻게 해야 하나요?,① 통일부에서 '배우자의 보호결정 여부 확인서'를 발급받습니다. ② 이 확인서를 첨부하여 서울가정법원에 재판상 이혼청구를 합니다. ③ 법원은 공시송달 방식으로 소송을 진행합니다(첫 공시송달 효력 발생까지 2개월). ④ 이혼 판결 확정 후 1개월 이내에 판결문 등본과 확정증명서를 시·구청에 제출하여 가족관계등록부를 정리합니다.,"북한에 있는 남편과 이혼하기 위해서는 몇 가지 절차가 필요합니다. 이혼은 일반적으로 한국 내에서 이루어지며, 북한에 있는 남편과의 이혼 절차는 복잡할 수 있습니다. 다음은 기본적인 절차입니다.

1. **이혼 소송 제기**: 남편과의 이혼을 원할 경우, 한국의 가정법원에 이혼 소송을 제기해야 합니다. 이때, 이혼 사유를 명확하게 하고 관련 증거를 준비하는 것이 중요합니다.
   
   - 법적 근거: 민법 제840조 (이혼 사유)

2. **소송 절차에서의 통지**: 북한에 있는 남편에게 이혼 소송의 사실을 통지해야 합니다. 이 과정은 법원에서 소환장을 보내거나 특정 절차에 따라 진행될 수 있습니다.

3. **법원의 판결**: 법원에서 이혼이 승인되면, 판결문을 받아 이혼은 공식적으로 종료됩니다. 

4. **북한과의 법적 문제**: 북한 남편에 대한 이혼 소송이 국제적, 정치적 문제와 연관될 수 있으므로, 전문적인 법률 상담이 필요할 수 있습니다.

고위험 상황에 있거나 추가적인 법적 지원이 필요할 경우, 다음의 기관에 문의하시기 바랍니다:

- 대한법률구조공단: 132
- 남북하나재단: 1577-6635

이 정보는 일반적인 법률 정보를 제공하는 것이며, 법률 상담을 대체하지 않습니다. 꼭 변호사나 전문가와 상담하시기 바랍니다.",259,358,,3,"AI 응답은 이혼 절차의 일부를 언급하고 있으나, 통일부의 확인서 발급 및 공시송달 방식 등 중요한 세부사항이 누락되어 있습니다. 또한, 법적 근거가 명확하게 제시되지 않아 일부 내용이 부정확합니다.",True,True,True,True,1,True,0.0
Q008,가사,심화,high,서울지방변호사회 매뉴얼 §III,가족관계등록법 관련 규정,하나원에서 진술할 때 북한 남편 이야기를 안 했어요. 나중에 가족관계에 남편이 없는 걸 어떻게 고칠 수 있나요?,"하나원에서의 진술 내용을 나중에 정정하는 법률적 방안은 별도로 마련되어 있지 않습니다. 다만 북한에서의 혼인이 사실상 유효하게 존재하는 경우, 가족관계등록부에 허위 내용이 기재된 상태에서 한국에서 다시 혼인을 하면 중혼 취소 문제가 발생할 수 있습니다. 이 경우 반드시 전문 변호사와 구체적인 사정을 상담하여 가족관계등록부 정정 신청 등의 법적 방법을 모색해야 합니다.","하나원에서 진술할 때 북한 남편에 대한 정보를 누락한 경우, 그 가족관계를 수정하려면 다음과 같은 절차를 따라야 합니다.

1. **가족관계 등록부 수정 신청**: 본인의 가족관계를 바르게 등록하기 위해서는 주민센터 또는 구청 등 관할 행정기관에 가족관계 등록부 수정 신청을 해야 합니다. 이는 「가족관계의 등록 등에 관한 법률」 제15조에 따라 가능합니다.

2. **필요 서류 준비**: 수정 신청을 위해 북한 남편과의 관계를 증명할 수 있는 서류(예: 결혼 증명서, 이혼 증명서 등)를 준비해야 합니다. 만약 이 서류가 없다면, 북한에서의 가족관계 증명을 위한 추가적인 서류가 필요할 수 있습니다.

3. **신청 절차 진행**: 필요한 서류를 갖춘 후, 관할 주민센터에 가족관계 등록부 수정 요청서를 제출하여야 합니다.

4. **상담 및 지원 요청**: 필요할 경우, 대한법률구조공단(132)이나 남북하나재단(1577-6635)에서 상담과 지원을 받을 수 있습니다. 이들 기관에서는 관련 법률 조언을 제공하고 필요한 서류 준비에 대한 도움을 줄 수 있습니다.

이 과정은 시간이 소요될 수 있으며, 각 단계에서 필요한 조치를 정확히 따르는 것이 중요합니다. 추가적인 문의 사항이나 지원이 필요하다면 전문가와 상담하시기 바랍니다.",279,327,,3,"AI 응답은 가족관계 등록부 수정 절차에 대한 구체적인 정보를 제공하지만, 북한에서의 혼인 유효성 및 중혼 취소 문제에 대한 중요한 내용을 누락하고 있습니다.",True,True,True,True,0,True,0.0
Q009,가사,기본,low,서울지방변호사회 매뉴얼 §III,가족관계등록법,이름을 바꾸고 싶어요. 어떻게 하면 되나요?,"하나원 교육을 마친 후 가족관계등록지 또는 주소지 관할 법원에 개명허가신청을 할 수 있습니다. 필요 서류는 기본증명서, 가족관계증명서, 주민등록등본, 북한이탈주민등록확인서, 소송위임장 등입니다. 법원의 개명허가 결정이 확정되면 1개월 이내에 동 주민센터에 신고하면 됩니다.","이름을 변경하려면 법원에 신청하여 단계를 거쳐야 합니다. 대한민국에서 이름을 변경하는 절차는 민법 제57조 제1항에 규정되어 있습니다. 민법 제57조에 따르면, 이름 변경은 정당한 사유가 있을 경우 가능합니다.

### 이름 변경 절차
1. **신청서 작성**: 이름 변경 신청서를 작성합니다.
2. **자료 준비**: 변경 사유를 입증할 수 있는 자료를 준비합니다. 예를 들어, 신변의 위협, 친족관계의 변경, 발음의 불편 등 사유를 증명할 수 있는 서류가 필요합니다.
3. **법원에 신청**: 관할 법원에 제출합니다.
4. **심리**: 법원이 심리 후, 이름 변경이 적합하다고 판단되면 승인합니다.
5. **이름 변경 증명서 발급**: 이름 변경이 승인되면, 변경된 이름으로 새로운 주민등록증을 발급받아야 합니다.

이 과정에서 법률 상담이 필요할 수 있으며, 전문 변호사나 법률전문가와 상담하는 것을 권장합니다. 

특히, 고위험 상황이나 특별한 법률 문제와 관련이 있다면, 대한법률구조공단(132)이나 남북하나재단(1577-6635)으로 문의하여 도움을 받으시기 바랍니다.",257,306,,3,"AI 응답은 이름 변경 절차에 대한 기본적인 정보를 제공하지만, 핵심 내용인 개명허가신청과 필요한 서류에 대한 구체적인 언급이 부족합니다. 또한, 법원의 결정 후 신고 절차에 대한 정보가 누락되어 있습니다.",True,True,True,True,1,True,0.0
Q010,민사,심화,medium,서울지방변호사회 매뉴얼 §IV,"민법 제103조, 제104조",브로커한테 돈을 줬는데 가족을 못 데려왔어요. 돈을 돌려받을 수 있나요?,"돌려받기 어려운 경우가 많습니다. 법원은 탈북 용역 계약에서 구간별로 비용이 나뉜다는 주장을 입증할 증거가 없으면 인정하지 않으며, 탈북 과정 전체를 통합하여 대가를 산정한 것으로 봅니다. 다만 ① 브로커가 실제 지출한 비용이나 한 일을 전혀 입증하지 못하는 경우, ② 계약 금액이 통상적인 수준과 현저히 차이 나고 귀하의 궁박한 상태를 이용한 것이 증명되는 경우에는 민법 제104조의 불공정 법률행위로 계약이 무효가 될 수 있습니다. 계좌 거래 내역 등 증거를 확보하여 변호사와 상담하시기 바랍니다.","브로커에게 지급한 돈을 돌려받으려면 몇 가지 상황을 고려해야 합니다. 일반적으로 다음과 같은 법적 근거가 있습니다.

1. **사기죄(형법 제347조)**: 만약 브로커가 돈을 받고 이행을 하지 않았다면, 그것이 사기일 수 있습니다. 사기죄가 성립하면, 피해자는 형사 고소를 통해 자료를 제출하고, 브로커에게 손해 배상을 요구할 수 있습니다.

2. **계약의 불이행**: 브로커와의 계약이 명확히 존재하고, 그 계약을 이행하지 않았다면 민사소송을 통해 손해배상을 청구할 수 있습니다. 이는 민법 제390조에 규정된 '계약의 불이행에 대한 손해배상'에 해당됩니다.

돈을 돌려받기 위해서는 다음 단계가 필요할 수 있습니다:

- **증거 확보**: 브로커에게 지급한 돈과 관련된 모든 증거(계약서, 송금 내역 등)를 수집하십시오.
- **전문가 상담**: 법률 전문가(변호사)와 상담하여 상황에 맞는 법적 대응 방법을 논의하십시오.

고위험 상황(신변의 위협, 브로커의 사기 등)에 처해 있다면, 다음 기관에 즉시 연락하시기 바랍니다.

- 대한법률구조공단: 132
- 경찰: 112

법률 상담을 통한 구체적인 조치가 필요하므로, 전문 변호사와 상의하시기 바랍니다.",271,343,,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 법적 근거도 적절하게 제시하고 있습니다. 그러나 탈북 용역 계약에 대한 구체적인 언급이 부족하고, 일부 세부 사항이 누락되었습니다.",True,True,True,True,2,True,1.0
